order_id,customer_id,product,quantity,price,order_date
ORD-001162,CUST-0161,headset,2,119.56,2025-02-13
ORD-001794,CUST-0279,wireless mouse,1,23.19,2025-11-22
ORD-004844,CUST-0078,laptop stand,6,31.07,2024-04-27
ORD-001429,CUST-0276,monitor,8,315.45,2024-01-17
ORD-001376,CUST-0339,monitor,1,275.23,2025-12-11
ORD-003951,CUST-0396,usb-c hub,4,43.5,2025-01-22
ORD-000122,CUST-0253,desk lamp,2,56.5,2025-10-26
ORD-002927,CUST-0330,desk lamp,3,64.6,2024-03-20
ORD-002804,CUST-0319,external ssd,7,217.09,2024-08-17
ORD-003534,CUST-0146,desk lamp,7,56.11,2025-05-07
ORD-003595,CUST-0387,monitor,1,140.16,2024-01-10
ORD-000176,CUST-0317,laptop stand,4,22.31,2024-03-15
ORD-004812,CUST-0398,laptop stand,3,22.57,2025-01-05
ORD-003365,CUST-0172,monitor,7,316.72,2025-12-16
ORD-003181,CUST-0122,external ssd,1,112.78,2024-11-02
ORD-000933,CUST-0155,usb-c hub,2,52.11,2024-03-01
ORD-004798,CUST-0170,desk lamp,5,48.63,2025-10-27
ORD-003643,CUST-0097,headset,1,97.4,2025-12-15
ORD-002719,CUST-0174,headset,5,26.46,2024-12-24
ORD-001549,CUST-0176,monitor,6,324.54,2025-03-28
ORD-002701,CUST-0177,usb-c hub,2,64.54,2025-10-14
ORD-001318,CUST-0007,headset,2,91.22,2024-08-24
ORD-003858,CUST-0109,wireless mouse,4,40.17,2024-07-27
ORD-001462,CUST-0207,external ssd,6,114.04,2025-10-27
ORD-002210,CUST-0018,mechanical keyboard,7,71.98,2024-01-26
ORD-001516,CUST-0249,mechanical keyboard,2,95.53,2025-02-28
ORD-001032,CUST-0124,headset,1,135.14,2024-02-02
ORD-004146,CUST-0260,headset,6,55.39,2025-08-22
ORD-004139,CUST-0296,wireless mouse,8,15.03,2024-08-21
ORD-002273,CUST-0225,headset,2,42.12,2024-12-10
ORD-001082,CUST-0205,external ssd,1,90.12,2024-07-20
ORD-003099,CUST-0023,laptop stand,2,63.32,2025-06-11
ORD-001298,CUST-0052,notebook,4,12.9,2024-06-15
ORD-001241,CUST-0333,monitor,2,377.39,2025-08-11
ORD-000489,CUST-0139,external ssd,2,63.21,2025-07-18
ORD-000474,CUST-0126,wireless mouse,4,33.87,2024-07-11
ORD-003242,CUST-0029,external ssd,7,156.85,2024-05-13
ORD-000450,CUST-0107,monitor,6,199.55,2025-09-15
ORD-003255,CUST-0107,headset,6,104.41,2024-05-23
ORD-000314,CUST-0165,usb-c hub,4,76.29,2025-06-22
ORD-002624,CUST-0323,laptop stand,8,26.47,2025-08-12
