order_id,customer_id,product,quantity,price,order_date,order_value,month,is_large_order
ORD-001162,CUST-0161,headset,2,119.56,2025-02-13,239.12,2,False
ORD-001794,CUST-0279,wireless mouse,1,23.19,2025-11-22,23.19,11,False
ORD-004844,CUST-0078,laptop stand,6,31.07,2024-04-27,186.42000000000002,4,False
ORD-001429,CUST-0276,monitor,8,315.45,2024-01-17,2523.6,1,True
ORD-001376,CUST-0339,monitor,1,275.23,2025-12-11,275.23,12,False
ORD-003951,CUST-0396,usb-c hub,4,43.5,2025-01-22,174.0,1,False
ORD-000122,CUST-0253,desk lamp,2,56.5,2025-10-26,113.0,10,False
ORD-002927,CUST-0330,desk lamp,3,64.6,2024-03-20,193.79999999999998,3,False
ORD-002804,CUST-0319,external ssd,7,217.09,2024-08-17,1519.63,8,True
ORD-003534,CUST-0146,desk lamp,7,56.11,2025-05-07,392.77,5,False
ORD-003595,CUST-0387,monitor,1,140.16,2024-01-10,140.16,1,False
ORD-000176,CUST-0317,laptop stand,4,22.31,2024-03-15,89.24,3,False
ORD-004812,CUST-0398,laptop stand,3,22.57,2025-01-05,67.71000000000001,1,False
ORD-003365,CUST-0172,monitor,7,316.72,2025-12-16,2217.04,12,True
ORD-003181,CUST-0122,external ssd,1,112.78,2024-11-02,112.78,11,False
ORD-000933,CUST-0155,usb-c hub,2,52.11,2024-03-01,104.22,3,False
ORD-004798,CUST-0170,desk lamp,5,48.63,2025-10-27,243.15,10,False
ORD-003643,CUST-0097,headset,1,97.4,2025-12-15,97.4,12,False
ORD-002719,CUST-0174,headset,5,26.46,2024-12-24,132.3,12,False
ORD-001549,CUST-0176,monitor,6,324.54,2025-03-28,1947.2400000000002,3,True
ORD-002701,CUST-0177,usb-c hub,2,64.54,2025-10-14,129.08,10,False
ORD-001318,CUST-0007,headset,2,91.22,2024-08-24,182.44,8,False
ORD-003858,CUST-0109,wireless mouse,4,40.17,2024-07-27,160.68,7,False
ORD-001462,CUST-0207,external ssd,6,114.04,2025-10-27,684.24,10,True
ORD-002210,CUST-0018,mechanical keyboard,7,71.98,2024-01-26,503.86,1,True
ORD-001516,CUST-0249,mechanical keyboard,2,95.53,2025-02-28,191.06,2,False
ORD-001032,CUST-0124,headset,1,135.14,2024-02-02,135.14,2,False
ORD-004146,CUST-0260,headset,6,55.39,2025-08-22,332.34000000000003,8,False
ORD-004139,CUST-0296,wireless mouse,8,15.03,2024-08-21,120.24,8,False
ORD-002273,CUST-0225,headset,2,42.12,2024-12-10,84.24,12,False
ORD-001082,CUST-0205,external ssd,1,90.12,2024-07-20,90.12,7,False
ORD-003099,CUST-0023,laptop stand,2,63.32,2025-06-11,126.64,6,False
ORD-001298,CUST-0052,notebook,4,12.9,2024-06-15,51.6,6,False
ORD-001241,CUST-0333,monitor,2,377.39,2025-08-11,754.78,8,True
ORD-000489,CUST-0139,external ssd,2,63.21,2025-07-18,126.42,7,False
ORD-000474,CUST-0126,wireless mouse,4,33.87,2024-07-11,135.48,7,False
ORD-003242,CUST-0029,external ssd,7,156.85,2024-05-13,1097.95,5,True
ORD-000450,CUST-0107,monitor,6,199.55,2025-09-15,1197.3000000000002,9,True
ORD-003255,CUST-0107,headset,6,104.41,2024-05-23,626.46,5,True
ORD-000314,CUST-0165,usb-c hub,4,76.29,2025-06-22,305.16,6,False
ORD-002624,CUST-0323,laptop stand,8,26.47,2025-08-12,211.76,8,False
ORD-001893,CUST-0153,wireless mouse,5,31.66,2024-01-19,158.3,1,False
ORD-003496,CUST-0274,monitor,4,398.02,2024-10-29,1592.08,10,True
ORD-003221,CUST-0264,webcam,6,102.67,2024-01-19,616.02,1,True
ORD-004846,CUST-0015,laptop stand,6,46.24,2024-12-16,277.44,12,False
ORD-002312,CUST-0056,headset,5,81.46,2024-07-25,407.29999999999995,7,True
ORD-001280,CUST-0198,mechanical keyboard,3,140.1,2024-08-27,420.29999999999995,8,True
ORD-004485,CUST-0332,mechanical keyboard,2,162.68,2024-06-14,325.36,6,False
ORD-002979,CUST-0284,usb-c hub,4,28.47,2025-11-18,113.88,11,False
ORD-003126,CUST-0350,external ssd,4,78.15,2025-07-14,312.6,7,False
ORD-002128,CUST-0289,monitor,6,135.3,2024-06-21,811.8000000000001,6,True
ORD-003735,CUST-0053,mechanical keyboard,5,152.06,2024-08-30,760.3,8,True
ORD-004055,CUST-0130,usb-c hub,3,81.75,2024-04-23,245.25,4,False
ORD-002769,CUST-0364,external ssd,4,192.99,2024-05-08,771.96,5,True
ORD-003742,CUST-0286,wireless mouse,5,28.47,2024-07-19,142.35,7,False
ORD-002090,CUST-0131,desk lamp,4,49.75,2025-12-19,199.0,12,False
ORD-002618,CUST-0178,desk lamp,6,34.58,2024-03-22,207.48,3,False
ORD-004443,CUST-0293,notebook,8,7.21,2025-10-26,57.68,10,False
ORD-004337,CUST-0190,laptop stand,5,36.56,2024-12-21,182.8,12,False
ORD-002530,CUST-0201,usb-c hub,5,34.44,2025-02-04,172.2,2,False
ORD-004796,CUST-0254,mechanical keyboard,2,146.47,2024-05-30,292.94,5,False
ORD-004721,CUST-0255,external ssd,6,59.47,2025-03-14,356.82,3,False
ORD-002081,CUST-0148,notebook,5,14.31,2025-12-20,71.55,12,False
ORD-003594,CUST-0009,webcam,7,64.97,2025-01-22,454.78999999999996,1,True
ORD-003442,CUST-0042,notebook,6,3.8,2025-08-09,22.799999999999997,8,False
ORD-002672,CUST-0070,wireless mouse,1,32.07,2025-11-24,32.07,11,False
ORD-002957,CUST-0121,monitor,4,321.37,2025-02-14,1285.48,2,True
ORD-004663,CUST-0070,mechanical keyboard,5,83.86,2025-08-01,419.3,8,True
ORD-000744,CUST-0167,monitor,5,408.04,2024-03-04,2040.2,3,True
ORD-001415,CUST-0161,notebook,2,11.01,2024-10-03,22.02,10,False
ORD-000930,CUST-0267,mechanical keyboard,7,74.6,2024-06-22,522.1999999999999,6,True
ORD-002978,CUST-0141,headset,5,128.75,2024-04-02,643.75,4,True
