order_id,customer_id,product,quantity,price,order_date
ORD-001162,CUST-0161,HEADSET,2,119.56,"Feb 13, 2025"
ORD-001794,CUST-0279,WIRELESS MOUSE,1,23.19,"Nov 22, 2025"
ORD-004844,CUST-0078,laptop stand,6,31.07,2024-04-27
ORD-001429,CUST-0276,Monitor,8,315.45,17/01/2024
ORD-001376,CUST-0339,monitor,1,275.23,2025-11-12
ORD-003951,CUST-0396, usb-c hub ,4,43.50,01-22-2025
ORD-000122,CUST-0253,DESK LAMP,2,56.50,"Oct 26, 2025"
ORD-001639,CUST-0209, notebook ,,13.27,03-30-2024
ORD-002927,CUST-0330, desk lamp ,3,64.60,03-20-2024
ORD-002804,CUST-0319,external ssd,7,217.09,2024-08-17
ORD-003534,CUST-0146,DESK LAMP,7,56.11,"May 07, 2025"
ORD-003595,CUST-0387, monitor ,1,140.16,10-01-2024
ORD-000176,CUST-0317,laptop stand,4,22.31,2024-03-15
ORD-004812,CUST-0398,laptop stand,3,22.57,2025-05-01
ORD-003365,CUST-0172,Monitor,7,316.72,16/12/2025
ORD-003181,CUST-0122,External Ssd,1,112.78,02/11/2024
ORD-000933,CUST-0155,Usb-C Hub,2,52.11,01/03/2024
ORD-004798,CUST-0170,DESK LAMP,5,48.63,"Oct 27, 2025"
ORD-003643,CUST-0097, headset ,1,97.40,12-15-2025
ORD-002719,CUST-0174, headset ,5,26.46,12-24-2024
ORD-001549,CUST-0176,Monitor,6,324.54,28/03/2025
ORD-002701,CUST-0177,Usb-C Hub,2,64.54,14/10/2025
ORD-001318,CUST-0007,HEADSET,2,91.22,"Aug 24, 2024"
ORD-003858,CUST-0109,WIRELESS MOUSE,4,40.17,"Jul 27, 2024"
ORD-001462,CUST-0207,EXTERNAL SSD,6,114.04,"Oct 27, 2025"
ORD-002210,CUST-0018,MECHANICAL KEYBOARD,7,71.98,"Jan 26, 2024"
ORD-001516,CUST-0249,mechanical keyboard,2,95.53,2025-02-28
ORD-001032,CUST-0124,headset,1,135.14,2024-02-02
ORD-004146,CUST-0260,HEADSET,6,55.39,"Aug 22, 2025"
ORD-004139,CUST-0296, wireless mouse ,8,15.03,08-21-2024
ORD-002273,CUST-0225,Headset,2,42.12,10/12/2024
ORD-001082,CUST-0205,EXTERNAL SSD,1,90.12,"Jul 20, 2024"
ORD-003099,CUST-0023, laptop stand ,2,63.32,11-06-2025
ORD-001298,CUST-0052,NOTEBOOK,4,12.90,"Jun 15, 2024"
ORD-001241,CUST-0333,Monitor,2,377.39,11/08/2025
ORD-000489,CUST-0139,External Ssd,2,,18/07/2025
ORD-000474,CUST-0126,WIRELESS MOUSE,4,33.87,"Jul 11, 2024"
ORD-003242,CUST-0029,EXTERNAL SSD,7,156.85,"May 13, 2024"
ORD-000450,CUST-0107,MONITOR,6,199.55,"Sep 15, 2025"
ORD-003255,CUST-0107, headset ,6,104.41,05-23-2024
ORD-000314,CUST-0165,USB-C HUB,4,76.29,"Jun 22, 2025"
ORD-002624,CUST-0323,laptop stand,8,26.47,2025-12-08
ORD-001893,CUST-0153,Wireless Mouse,5,31.66,19/01/2024
ORD-003496,CUST-0274,monitor,4,398.02,2024-10-29
ORD-003221,CUST-0264,Webcam,6,102.67,19/01/2024
ORD-004846,CUST-0015,LAPTOP STAND,6,46.24,"Dec 16, 2024"
ORD-002312,CUST-0056,headset,5,81.46,2024-07-25
ORD-001280,CUST-0198,mechanical keyboard,3,140.10,2024-08-27
ORD-004485,CUST-0332,Mechanical Keyboard,2,162.68,14/06/2024
ORD-002979,CUST-0284, usb-c hub ,4,28.47,11-18-2025
ORD-003126,CUST-0350,EXTERNAL SSD,4,78.15,"Jul 14, 2025"
ORD-002128,CUST-0289,monitor,6,135.30,2024-06-21
ORD-003735,CUST-0053, mechanical keyboard ,5,152.06,08-30-2024
ORD-004055,CUST-0130, usb-c hub ,3,81.75,04-23-2024
ORD-002769,CUST-0364,External Ssd,4,192.99,08/05/2024
ORD-003742,CUST-0286,WIRELESS MOUSE,5,28.47,"Jul 19, 2024"
ORD-002090,CUST-0131,DESK LAMP,4,49.75,"Dec 19, 2025"
ORD-002618,CUST-0178,DESK LAMP,6,34.58,"Mar 22, 2024"
ORD-004443,CUST-0293, notebook ,8,7.21,10-26-2025
ORD-004337,CUST-0190,Laptop Stand,5,36.56,21/12/2024
ORD-002530,CUST-0201,USB-C HUB,5,34.44,"Feb 04, 2025"
ORD-004796,CUST-0254,mechanical keyboard,2,146.47,2024-05-30
ORD-004721,CUST-0255,External Ssd,6,59.47,14/03/2025
ORD-004094,CUST-0239,MONITOR,3,245.54,
ORD-002081,CUST-0148,Notebook,5,14.31,20/12/2025
ORD-003594,CUST-0009,WEBCAM,7,64.97,"Jan 22, 2025"
